name,id,waterbody,month,year,Lat,Long,type,turbidity,SAL,WT
Kemnitz,105210010,Ziese,8,2014,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,19.1
Wolgast,111140027,Ziese,8,2014,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,21.2
Neuendorf,112350018,Sehrowbach,8,2014,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,19.4
Barth,103070014,Barthe,9,2014,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,17.6
Kemnitz,105210010,Ziese,9,2014,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,14.4
Wolgast,111140027,Ziese,9,2014,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,16.6
Neuendorf,112350018,Sehrowbach,9,2014,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,14.7
Barth,103070014,Barthe,10,2014,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,13.4
Kemnitz,105210010,Ziese,10,2014,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,11.3
Wolgast,111140027,Ziese,10,2014,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,11.7
Neuendorf,112350018,Sehrowbach,10,2014,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,11.4
Barth,103070014,Barthe,11,2014,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,7.7
Kemnitz,105210010,Ziese,11,2014,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,11
Wolgast,111140027,Ziese,11,2014,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,10.9
Neuendorf,112350018,Sehrowbach,11,2014,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,10
Barth,103070014,Barthe,12,2014,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,1.4
Kemnitz,105210010,Ziese,12,2014,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,1.1
Wolgast,111140027,Ziese,12,2014,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,0.4
Neuendorf,112350018,Sehrowbach,12,2014,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,0
Barth,103070014,Barthe,1,2015,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,3.9
Kemnitz,105210010,Ziese,1,2015,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,3.6
Wolgast,111140027,Ziese,1,2015,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,2.9
Neuendorf,112350018,Sehrowbach,1,2015,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,3.3
Barth,103070014,Barthe,2,2015,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,1.4
Kemnitz,105210010,Ziese,2,2015,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,2
Wolgast,111140027,Ziese,2,2015,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,1.7
Neuendorf,112350018,Sehrowbach,2,2015,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,2.7
Barth,103070014,Barthe,3,2015,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,3.1
Kemnitz,105210010,Ziese,3,2015,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,4.5
Wolgast,111140027,Ziese,3,2015,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,4
Neuendorf,112350018,Sehrowbach,3,2015,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,5.3
Barth,103070014,Barthe,4,2015,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,6.5
Kemnitz,105210010,Ziese,4,2015,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,6.4
Wolgast,111140027,Ziese,4,2015,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,6.4
Neuendorf,112350018,Sehrowbach,4,2015,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,10.8
Barth,103070014,Barthe,5,2015,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,13.9
Kemnitz,105210010,Ziese,5,2015,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,13.4
Wolgast,111140027,Ziese,5,2015,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,13.6
Neuendorf,112350018,Sehrowbach,5,2015,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,14.4
Barth,103070014,Barthe,6,2015,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,15.4
Kemnitz,105210010,Ziese,6,2015,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,14
Wolgast,111140027,Ziese,6,2015,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,15.3
Neuendorf,112350018,Sehrowbach,6,2015,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,15.3
Barth,103070014,Barthe,7,2015,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,22.3
Kemnitz,105210010,Ziese,7,2015,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,18.7
Wolgast,111140027,Ziese,7,2015,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,21.8
Neuendorf,112350018,Sehrowbach,7,2015,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,17.3
Barth,103070014,Barthe,8,2015,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,19.9
Kemnitz,105210010,Ziese,8,2015,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,17.5
Wolgast,111140027,Ziese,8,2015,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,19.1
Neuendorf,112350018,Sehrowbach,8,2015,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,19.1
Barth,103070014,Barthe,9,2015,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,20.3
Kemnitz,105210010,Ziese,9,2015,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,17.6
Wolgast,111140027,Ziese,9,2015,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,19.2
Neuendorf,112350018,Sehrowbach,9,2015,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,14
Barth,103070014,Barthe,10,2015,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,13.4
Kemnitz,105210010,Ziese,10,2015,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,11.8
Wolgast,111140027,Ziese,10,2015,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,12.5
Neuendorf,112350018,Sehrowbach,10,2015,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,6.8
Barth,103070014,Barthe,11,2015,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,8.3
Kemnitz,105210010,Ziese,11,2015,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,8
Wolgast,111140027,Ziese,11,2015,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,8.2
Neuendorf,112350018,Sehrowbach,11,2015,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,3.9
Barth,103070014,Barthe,12,2015,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,5.2
Kemnitz,105210010,Ziese,12,2015,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,4.9
Wolgast,111140027,Ziese,12,2015,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,4.5
Neuendorf,112350018,Sehrowbach,12,2015,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,4.3
Barth,103070014,Barthe,1,2016,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,0.2
Kemnitz,105210010,Ziese,1,2016,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,1.5
Wolgast,111140027,Ziese,1,2016,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,0
Neuendorf,112350018,Sehrowbach,1,2016,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,2
Barth,103070014,Barthe,2,2016,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,5
Kemnitz,105210010,Ziese,2,2016,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,4.2
Wolgast,111140027,Ziese,2,2016,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,5.7
Neuendorf,112350018,Sehrowbach,2,2016,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,4.1
Barth,103070014,Barthe,3,2016,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,3.4
Kemnitz,105210010,Ziese,3,2016,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,5.5
Wolgast,111140027,Ziese,3,2016,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,2.6
Neuendorf,112350018,Sehrowbach,3,2016,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,5.5
Barth,103070014,Barthe,4,2016,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,9.4
Kemnitz,105210010,Ziese,4,2016,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,9.4
Wolgast,111140027,Ziese,4,2016,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,11.8
Neuendorf,112350018,Sehrowbach,4,2016,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,8
Barth,103070014,Barthe,5,2016,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,18.9
Kemnitz,105210010,Ziese,5,2016,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,11.1
Wolgast,111140027,Ziese,5,2016,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,14.9
Neuendorf,112350018,Sehrowbach,5,2016,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,20
Barth,103070014,Barthe,6,2016,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,19
Kemnitz,105210010,Ziese,6,2016,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,18
Wolgast,111140027,Ziese,6,2016,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,18.7
Neuendorf,112350018,Sehrowbach,6,2016,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,20.7
Barth,103070014,Barthe,7,2016,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,20.8
Kemnitz,105210010,Ziese,7,2016,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,17.8
Wolgast,111140027,Ziese,7,2016,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,18.3
Neuendorf,112350018,Sehrowbach,7,2016,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,23.4
Barth,103070014,Barthe,8,2016,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,19.1
Kemnitz,105210010,Ziese,8,2016,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,15.5
Wolgast,111140027,Ziese,8,2016,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,17.6
Neuendorf,112350018,Sehrowbach,8,2016,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,18
Barth,103070014,Barthe,9,2016,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,20.3
Kemnitz,105210010,Ziese,9,2016,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,13.5
Wolgast,111140027,Ziese,9,2016,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,16.7
Neuendorf,112350018,Sehrowbach,9,2016,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,14.5
Barth,103070014,Barthe,10,2016,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,10.5
Kemnitz,105210010,Ziese,10,2016,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,8.5
Wolgast,111140027,Ziese,10,2016,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,13.3
Neuendorf,112350018,Sehrowbach,10,2016,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,8
Barth,103070014,Barthe,11,2016,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,5.2
Kemnitz,105210010,Ziese,11,2016,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,3.4
Wolgast,111140027,Ziese,11,2016,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,9.4
Neuendorf,112350018,Sehrowbach,11,2016,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,5.5
Barth,103070014,Barthe,12,2016,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,3
Kemnitz,105210010,Ziese,12,2016,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,4.5
Wolgast,111140027,Ziese,12,2016,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,3.3
Neuendorf,112350018,Sehrowbach,12,2016,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,3.9
Barth,103070014,Barthe,1,2017,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,-0.1
Kemnitz,105210010,Ziese,1,2017,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,3.4
Wolgast,111140027,Ziese,1,2017,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,2.3
Neuendorf,112350018,Sehrowbach,1,2017,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,2.1
Barth,103070014,Barthe,2,2017,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,1.86666666666667
Kemnitz,105210010,Ziese,2,2017,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,2.4
Wolgast,111140027,Ziese,2,2017,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,2.8
Neuendorf,112350018,Sehrowbach,2,2017,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,6.1
Barth,103070014,Barthe,3,2017,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,4.4
Kemnitz,105210010,Ziese,3,2017,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,4.8
Wolgast,111140027,Ziese,3,2017,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,5
Neuendorf,112350018,Sehrowbach,3,2017,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,7.6
Barth,103070014,Barthe,4,2017,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,9.6
Kemnitz,105210010,Ziese,4,2017,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,9.6
Wolgast,111140027,Ziese,4,2017,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,9.9
Neuendorf,112350018,Sehrowbach,4,2017,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,7.4
Barth,103070014,Barthe,5,2017,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,16.4
Kemnitz,105210010,Ziese,5,2017,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,9.9
Wolgast,111140027,Ziese,5,2017,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,10.4
Neuendorf,112350018,Sehrowbach,5,2017,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,19.7
Barth,103070014,Barthe,6,2017,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,19.2
Kemnitz,105210010,Ziese,6,2017,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,14.4
Wolgast,111140027,Ziese,6,2017,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,17.8
Neuendorf,112350018,Sehrowbach,6,2017,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,15.4
Barth,103070014,Barthe,7,2017,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,19
Kemnitz,105210010,Ziese,7,2017,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,15.1
Wolgast,111140027,Ziese,7,2017,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,16.8
Neuendorf,112350018,Sehrowbach,7,2017,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,18.3
Barth,103070014,Barthe,8,2017,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,19
Kemnitz,105210010,Ziese,8,2017,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,16.3
Wolgast,111140027,Ziese,8,2017,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,18.3
Neuendorf,112350018,Sehrowbach,8,2017,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,16.3
Barth,103070014,Barthe,9,2017,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,14.7
Kemnitz,105210010,Ziese,9,2017,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,14.3
Wolgast,111140027,Ziese,9,2017,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,15.7
Neuendorf,112350018,Sehrowbach,9,2017,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,13.9
Barth,103070014,Barthe,10,2017,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,13.3
Kemnitz,105210010,Ziese,10,2017,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,10.3
Wolgast,111140027,Ziese,10,2017,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,10.2
Neuendorf,112350018,Sehrowbach,10,2017,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,11.8
Barth,103070014,Barthe,11,2017,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,5.8
Kemnitz,105210010,Ziese,11,2017,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,7.9
Wolgast,111140027,Ziese,11,2017,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,7.5
Neuendorf,112350018,Sehrowbach,11,2017,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,4.9
Barth,103070014,Barthe,12,2017,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,2.9
Kemnitz,105210010,Ziese,12,2017,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,4.8
Wolgast,111140027,Ziese,12,2017,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,3.1
Neuendorf,112350018,Sehrowbach,12,2017,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,2.5
Barth,103070014,Barthe,1,2018,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,5.2
Kemnitz,105210010,Ziese,1,2018,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,1.5
Wolgast,111140027,Ziese,1,2018,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,0.6
Neuendorf,112350018,Sehrowbach,1,2018,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,1.4
Barth,103070014,Barthe,2,2018,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,-0.1
Kemnitz,105210010,Ziese,2,2018,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,2.4
Wolgast,111140027,Ziese,2,2018,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,1.6
Neuendorf,112350018,Sehrowbach,2,2018,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,1.4
Barth,103070014,Barthe,3,2018,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,5.2
Kemnitz,105210010,Ziese,3,2018,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,1.4
Wolgast,111140027,Ziese,3,2018,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,0.6
Neuendorf,112350018,Sehrowbach,3,2018,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,4.2
Barth,103070014,Barthe,4,2018,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,12.8
Kemnitz,105210010,Ziese,4,2018,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,5
Wolgast,111140027,Ziese,4,2018,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,4.6
Neuendorf,112350018,Sehrowbach,4,2018,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,9.9
Barth,103070014,Barthe,5,2018,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,22.7
Kemnitz,105210010,Ziese,5,2018,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,12.3066666666667
Wolgast,111140027,Ziese,5,2018,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,17.5
Neuendorf,112350018,Sehrowbach,5,2018,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,17.1
