ID,cluster1,cluster2,cluster3,cluster4,DTW_cluster,phenotype,waterbody
BH-90997,0.68,0.255,0.045,0.02,FW high saline|const,Trans-habitat,Tributary
BH-00385,0.285,0.704,0.005,0.006,FW int saline|const,FW_resident,Tributary
BH-00391,0.092,0.878,0.015,0.015,FW int saline|const,FW_resident,Tributary
BH-00398,0.014,0.973,0.007,0.006,FW int saline|const,FW_resident,Tributary
BH-00405,0.034,0.944,0.012,0.01,FW low saline|shift,FW_resident,Tributary
BH-00411,0.013,0.978,0.005,0.004,FW int saline|const,FW_resident,Tributary
BH-51614,0.032,0.95,0.008,0.011,FW high saline|shift,Anadromous,Tributary
BH-91585,0.979,0.011,0.005,0.005,FW int saline|const,FW_resident,Tributary
BH-91588,0.241,0.728,0.014,0.017,FW int saline|const,FW_resident,Tributary
BH-92990,0.017,0.972,0.006,0.005,FW int saline|const,FW_resident,Tributary
BH-93007,0.013,0.981,0.003,0.003,FW int saline|const,FW_resident,Tributary
BH-93047,0.033,0.958,0.004,0.005,FW low saline|shift,FW_resident,Tributary
BH-93048,0.056,0.898,0.028,0.018,FW int saline|const,FW_resident,Tributary
BH-93097,0.011,0.939,0.033,0.017,FW int saline|const,FW_resident,Tributary
BH-93109,0.885,0.098,0.008,0.009,FW int saline|const,FW_resident,Tributary
BH-93114,0.065,0.869,0.04,0.026,FW int saline|const,FW_resident,Tributary
BH-93116,0.029,0.914,0.034,0.023,FW int saline|const,FW_resident,Tributary
BH-93132,0.268,0.692,0.018,0.023,FW int saline|const,FW_resident,Tributary
BH-93178,0.053,0.934,0.006,0.006,FW high saline|shift,Anadromous,Tributary
BH-01555,0.048,0.012,0.595,0.345,BW high saline|warm,BW-resident,NRB
BH-01560,0.028,0.019,0.914,0.039,BW int saline|cold,BW-resident,NRB
BH-01567,0.143,0.11,0.379,0.368,BW Low saline|shift,Trans-habitat,NRB
BH-01569,0.017,0.074,0.897,0.012,BW Low saline|shift,Trans-habitat,NRB
BH-01570,0.11,0.037,0.355,0.499,BW high saline|cold,BW-resident,NRB
BH-01571,0.46,0.035,0.3,0.204,BW Low saline|shift,Trans-habitat,NRB
BH-01576,0.122,0.028,0.266,0.584,BW int saline|cold,BW-resident,NRB
BH-01580,0.008,0.006,0.114,0.872,BW Low saline|shift,Trans-habitat,NRB
BH-01717,0.006,0.011,0.97,0.013,BW int saline|cold,BW-resident,NRB
BH-01722,0.653,0.023,0.146,0.178,BW high saline|cold,BW-resident,NRB
BH-01846,0.045,0.02,0.368,0.568,BW high saline|cold,BW-resident,NRB
BH-00750,0.907,0.082,0.005,0.006,BW Low saline|shift,Trans-habitat,GB
BH-01882,0.022,0.012,0.113,0.853,BW Low saline|shift,Trans-habitat,GB
BH-01883,0.006,0.009,0.94,0.045,BW int saline|cold,BW-resident,GB
BH-01885,0.034,0.023,0.277,0.666,BW int saline|cold,BW-resident,GB
BH-01889,0.051,0.035,0.276,0.639,BW Low saline|shift,Trans-habitat,GB
BH-01891,0.341,0.092,0.527,0.04,BW high saline|warm,BW-resident,GB
BH-01892,0.007,0.006,0.12,0.868,BW int saline|cold,BW-resident,GB
BH-01893,0.015,0.006,0.317,0.661,BW Low saline|shift,Trans-habitat,GB
BH-01897,0.01,0.01,0.931,0.05,BW Low saline|shift,Trans-habitat,GB
BH-01898,0.039,0.014,0.511,0.437,BW Low saline|shift,Trans-habitat,GB
BH-01899,0.007,0.005,0.139,0.848,BW Low saline|shift,Trans-habitat,GB
BH-01900,0.015,0.009,0.271,0.705,BW Low saline|shift,Trans-habitat,GB
BH-01902,0.024,0.02,0.336,0.62,BW high saline|warm,BW-resident,GB
BH-01904,0.252,0.23,0.135,0.383,BW high saline|warm,BW-resident,GB
BH-01596,0.029,0.01,0.629,0.333,BW Low saline|shift,Trans-habitat,NRB
BH-01598,0.175,0.146,0.329,0.35,BW int saline|cold,BW-resident,NRB
BH-01737,0.014,0.012,0.068,0.906,BW high saline|warm,BW-resident,WRB
BH-01789,0.007,0.004,0.14,0.849,BW Low saline|shift,Trans-habitat,WRB
BH-01809,0.066,0.059,0.375,0.5,BW int saline|cold,BW-resident,WRB
BH-01814,0.049,0.019,0.163,0.769,BW high saline|warm,BW-resident,WRB
BH-01835,0.005,0.006,0.059,0.93,BW high saline|warm,BW-resident,WRB
BH-01860,0.004,0.003,0.054,0.94,BW high saline|warm,BW-resident,WRB
BH-01922,0.029,0.036,0.886,0.049,BW high saline|cold,BW-resident,WRB
BH-00670,0.05,0.022,0.343,0.585,BW int saline|cold,BW-resident,WRB
BH-00729,0.013,0.019,0.92,0.048,BW high saline|cold,BW-resident,WRB
BH-00730,0.027,0.01,0.419,0.544,BW high saline|warm,BW-resident,WRB
BH-00732,0.008,0.013,0.953,0.026,BW Low saline|shift,Trans-habitat,WRB
BH-90307,0.009,0.012,0.944,0.035,BW high saline|warm,BW-resident,WRB
BH-01588,0.022,0.029,0.069,0.881,BW int saline|cold,BW-resident,NRB
BH-90910,0.072,0.89,0.02,0.018,FW int saline|shift,Anadromous,Tributary
BH-91117,0.022,0.791,0.134,0.054,FW int saline|shift,Anadromous,Tributary
BH-91328,0.012,0.974,0.008,0.006,FW int saline|shift,Anadromous,Tributary
BH-00355,0.011,0.982,0.004,0.003,FW low saline|shift,FW_resident,Tributary
BH-00424,0.153,0.803,0.023,0.021,FW low saline|cold,FW_resident,Tributary
BH-01713,0.015,0.022,0.804,0.16,BW int saline|cold,BW-resident,WRB
BH-01719,0.383,0.031,0.232,0.354,BW Low saline|shift,Trans-habitat,WRB
BH-01731,0.165,0.065,0.248,0.522,BW high saline|cold,BW-resident,WRB
BH-01738,0.006,0.005,0.172,0.816,BW high saline|warm,BW-resident,WRB
BH-01802,0.06,0.015,0.236,0.689,BW high saline|warm,BW-resident,WRB
BH-01803,0.048,0.027,0.171,0.754,BW int saline|cold,BW-resident,WRB
BH-01812,0.005,0.004,0.291,0.7,BW high saline|warm,BW-resident,WRB
BH-01867,0.012,0.011,0.206,0.771,BW int saline|cold,BW-resident,WRB
BH-01868,0.017,0.009,0.468,0.507,BW high saline|warm,BW-resident,WRB
BH-01869,0.006,0.005,0.224,0.765,BW high saline|warm,BW-resident,WRB
BH-01906,0.021,0.02,0.214,0.745,BW high saline|cold,BW-resident,WRB
BH-90928,0.766,0.206,0.015,0.014,FW high saline|shift,Anadromous,Tributary
BH-90946,0.122,0.009,0.658,0.212,FW high saline|shift,Anadromous,Tributary
BH-90970,0.813,0.177,0.005,0.005,FW high saline|const,Trans-habitat,Tributary
BH-90981,0.791,0.16,0.035,0.013,FW high saline|const,Trans-habitat,Tributary
BH-91054,0.769,0.017,0.113,0.101,FW high saline|const,Trans-habitat,Tributary
BH-91534,0.945,0.027,0.012,0.016,FW high saline|shift,Anadromous,Tributary
BH-91570,0.183,0.805,0.006,0.006,FW high saline|shift,Anadromous,Tributary
BH-92993,0.931,0.011,0.04,0.018,FW high saline|const,Trans-habitat,Tributary
BH-92996,0.933,0.056,0.007,0.004,FW high saline|shift,Anadromous,Tributary
BH-93002,0.36,0.458,0.121,0.061,FW high saline|const,Trans-habitat,Tributary
BH-93003,0.025,0.955,0.01,0.009,FW int saline|const,FW_resident,Tributary
BH-93005,0.08,0.082,0.691,0.147,FW high saline|const,Trans-habitat,Tributary
BH-93015,0.83,0.161,0.005,0.005,FW high saline|shift,Anadromous,Tributary
BH-93143,0.952,0.035,0.006,0.007,FW high saline|const,Trans-habitat,Tributary
BH-93152,0.882,0.106,0.007,0.006,FW high saline|const,Trans-habitat,Tributary
BH-93170,0.017,0.018,0.087,0.877,FW high saline|const,Trans-habitat,Tributary
BH-93172,0.95,0.037,0.006,0.007,FW high saline|const,Trans-habitat,Tributary
BH-00681,0.008,0.008,0.094,0.891,BW Low saline|shift,Trans-habitat,NRB
BH-00685,0.007,0.005,0.845,0.144,BW Low saline|shift,Trans-habitat,NRB
BH-00689,0.005,0.006,0.926,0.064,BW high saline|warm,BW-resident,NRB
BH-00696,0.005,0.004,0.277,0.715,BW int saline|cold,BW-resident,NRB
BH-01585,0.016,0.008,0.237,0.74,BW high saline|warm,BW-resident,NRB
BH-01594,0.006,0.008,0.942,0.044,BW high saline|warm,BW-resident,NRB
BH-01595,0.01,0.012,0.168,0.81,BW Low saline|shift,Trans-habitat,NRB
BH-91053,0.901,0.072,0.016,0.011,FW int saline|const,FW_resident,Tributary
BH-91068,0.945,0.022,0.017,0.016,FW int saline|const,FW_resident,Tributary
