ID,ID2,sex,TL_mm,rad_mm,waterbody,lifeyear,phenotype_char,phenotype_num,genotype_num
BH-00355,1,m,552,0.4956,Tributary,1,FW-resident,1,1
BH-00355,1,m,552,0.7331,Tributary,2,FW-resident,1,1
BH-00356,2,f,815,0.4605,Tributary,1,FW-resident,1,
BH-00356,2,f,815,0.6893,Tributary,2,FW-resident,1,
BH-00356,2,f,815,0.9273,Tributary,3,FW-resident,1,
BH-00356,2,f,815,1.1611,Tributary,4,FW-resident,1,
BH-00356,2,f,815,1.2965,Tributary,5,FW-resident,1,
BH-00356,2,f,815,1.4201,Tributary,6,FW-resident,1,
BH-00356,2,f,815,1.5475,Tributary,7,FW-resident,1,
BH-00385,3,f,765,0.4327,Tributary,1,FW-resident,1,3
BH-00385,3,f,765,0.6722,Tributary,2,FW-resident,1,3
BH-00385,3,f,765,0.946,Tributary,3,FW-resident,1,3
BH-00385,3,f,765,1.1306,Tributary,4,FW-resident,1,3
BH-00385,3,f,765,1.2621,Tributary,5,FW-resident,1,3
BH-00391,4,f,903,0.4587,Tributary,1,FW-resident,1,1
BH-00391,4,f,903,0.6663,Tributary,2,FW-resident,1,1
BH-00391,4,f,903,0.8502,Tributary,3,FW-resident,1,1
BH-00391,4,f,903,1.0467,Tributary,4,FW-resident,1,1
BH-00391,4,f,903,1.2028,Tributary,5,FW-resident,1,1
BH-00391,4,f,903,1.3166,Tributary,6,FW-resident,1,1
BH-00391,4,f,903,1.4086,Tributary,7,FW-resident,1,1
BH-00391,4,f,903,1.5143,Tributary,8,FW-resident,1,1
BH-00391,4,f,903,1.595,Tributary,9,FW-resident,1,1
BH-00392,5,f,930,0.565,Tributary,1,FW-resident,1,
BH-00392,5,f,930,0.7541,Tributary,2,FW-resident,1,
BH-00392,5,f,930,0.9835,Tributary,3,FW-resident,1,
BH-00392,5,f,930,1.1992,Tributary,4,FW-resident,1,
BH-00392,5,f,930,1.3395,Tributary,5,FW-resident,1,
BH-00392,5,f,930,1.4718,Tributary,6,FW-resident,1,
BH-00392,5,f,930,1.5818,Tributary,7,FW-resident,1,
BH-00398,6,f,761,0.431,Tributary,1,FW-resident,1,1
BH-00398,6,f,761,0.7315,Tributary,2,FW-resident,1,1
BH-00398,6,f,761,0.984,Tributary,3,FW-resident,1,1
BH-00398,6,f,761,1.0878,Tributary,4,FW-resident,1,1
BH-00398,6,f,761,1.2194,Tributary,5,FW-resident,1,1
BH-00398,6,f,761,1.3518,Tributary,6,FW-resident,1,1
BH-00405,7,f,466,0.3672,Tributary,1,FW-resident,1,1
BH-00405,7,f,466,0.6631,Tributary,2,FW-resident,1,1
BH-00411,8,f,677,0.3979,Tributary,1,FW-resident,1,1
BH-00411,8,f,677,0.7866,Tributary,2,FW-resident,1,1
BH-00411,8,f,677,1.0013,Tributary,3,FW-resident,1,1
BH-00418,9,f,758,0.3868,Tributary,1,FW-resident,1,
BH-00418,9,f,758,0.6482,Tributary,2,FW-resident,1,
BH-00418,9,f,758,0.949,Tributary,3,FW-resident,1,
BH-00418,9,f,758,1.1836,Tributary,4,FW-resident,1,
BH-00418,9,f,758,1.3787,Tributary,5,FW-resident,1,
BH-00418,9,f,758,1.553,Tributary,6,FW-resident,1,
BH-00419,10,f,958,0.3847,Tributary,1,FW-resident,1,
BH-00419,10,f,958,0.5805,Tributary,2,FW-resident,1,
BH-00419,10,f,958,0.7901,Tributary,3,FW-resident,1,
BH-00419,10,f,958,0.9808,Tributary,4,FW-resident,1,
BH-00419,10,f,958,1.1366,Tributary,5,FW-resident,1,
BH-00419,10,f,958,1.2875,Tributary,6,FW-resident,1,
BH-00419,10,f,958,1.4501,Tributary,7,FW-resident,1,
BH-00419,10,f,958,1.5748,Tributary,8,FW-resident,1,
BH-00419,10,f,958,1.6876,Tributary,9,FW-resident,1,
BH-00419,10,f,958,1.8161,Tributary,10,FW-resident,1,
BH-00424,11,m,425,0.3941,Tributary,1,FW-resident,1,4
BH-00424,11,m,425,0.6608,Tributary,2,FW-resident,1,4
BH-00670,12,f,680,0.5129,WRB,1,BW-resident,4,2
BH-00670,12,f,680,0.7738,WRB,2,BW-resident,4,2
BH-00670,12,f,680,1.0031,WRB,3,BW-resident,4,2
BH-00670,12,f,680,1.2201,WRB,4,BW-resident,4,2
BH-00681,13,m,630,0.5847,NRB,1,Trans-habitat,3,2
BH-00681,13,m,630,0.8569,NRB,2,Trans-habitat,3,2
BH-00685,14,m,720,0.5634,NRB,1,Trans-habitat,3,2
BH-00685,14,m,720,0.7749,NRB,2,Trans-habitat,3,2
BH-00685,14,m,720,1.0454,NRB,3,Trans-habitat,3,2
BH-00689,15,m,600,0.561,NRB,1,BW-resident,4,2
BH-00689,15,m,600,0.8771,NRB,2,BW-resident,4,2
BH-00696,16,f,790,0.4994,NRB,1,BW-resident,4,2
BH-00696,16,f,790,0.7029,NRB,2,BW-resident,4,2
BH-00696,16,f,790,0.8871,NRB,3,BW-resident,4,2
BH-00696,16,f,790,1.0422,NRB,4,BW-resident,4,2
BH-00729,17,f,770,0.461,WRB,1,BW-resident,4,2
BH-00729,17,f,770,0.8084,WRB,2,BW-resident,4,2
BH-00729,17,f,770,1.0303,WRB,3,BW-resident,4,2
BH-00729,17,f,770,1.2356,WRB,4,BW-resident,4,2
BH-00730,18,m,758,0.4912,WRB,1,BW-resident,4,2
BH-00730,18,m,758,0.8848,WRB,2,BW-resident,4,2
BH-00730,18,m,758,1.0315,WRB,3,BW-resident,4,2
BH-00730,18,m,758,1.1791,WRB,4,BW-resident,4,2
BH-00730,18,m,758,1.3029,WRB,5,BW-resident,4,2
BH-00730,18,m,758,1.4358,WRB,6,BW-resident,4,2
BH-00730,18,m,758,1.5234,WRB,7,BW-resident,4,2
BH-00732,19,f,617,0.51,WRB,1,Trans-habitat,3,2
BH-00742,20,m,550,0.6074,GB,1,Trans-habitat,3,
BH-00750,21,f,560,0.6967,GB,1,Trans-habitat,3,3
BH-01555,22,f,760,0.424,NRB,1,BW-resident,4,2
BH-01555,22,f,760,0.882,NRB,2,BW-resident,4,2
BH-01555,22,f,760,1.1327,NRB,3,BW-resident,4,2
BH-01555,22,f,760,1.3386,NRB,4,BW-resident,4,2
BH-01555,22,f,760,1.4697,NRB,5,BW-resident,4,2
BH-01556,23,f,1110,0.3788,NRB,1,BW-resident,4,
BH-01556,23,f,1110,0.6034,NRB,2,BW-resident,4,
BH-01556,23,f,1110,0.7944,NRB,3,BW-resident,4,
BH-01556,23,f,1110,0.9569,NRB,4,BW-resident,4,
BH-01556,23,f,1110,1.1013,NRB,5,BW-resident,4,
BH-01556,23,f,1110,1.2339,NRB,6,BW-resident,4,
BH-01556,23,f,1110,1.3377,NRB,7,BW-resident,4,
BH-01556,23,f,1110,1.4821,NRB,8,BW-resident,4,
BH-01556,23,f,1110,1.5964,NRB,9,BW-resident,4,
BH-01556,23,f,1110,1.7057,NRB,10,BW-resident,4,
BH-01560,24,f,820,0.5212,NRB,1,BW-resident,4,2
BH-01560,24,f,820,0.7242,NRB,2,BW-resident,4,2
BH-01560,24,f,820,0.8978,NRB,3,BW-resident,4,2
BH-01560,24,f,820,1.065,NRB,4,BW-resident,4,2
BH-01560,24,f,820,1.2257,NRB,5,BW-resident,4,2
BH-01560,24,f,820,1.3387,NRB,6,BW-resident,4,2
BH-01567,25,m,460,0.4767,NRB,1,Trans-habitat,3,2
BH-01567,25,m,460,0.7458,NRB,2,Trans-habitat,3,2
BH-01569,26,m,550,0.5524,NRB,1,Trans-habitat,3,4
BH-01569,26,m,550,0.8158,NRB,2,Trans-habitat,3,4
BH-01570,27,f,980,0.4231,NRB,1,BW-resident,4,2
BH-01570,27,f,980,0.6114,NRB,2,BW-resident,4,2
BH-01570,27,f,980,0.7912,NRB,3,BW-resident,4,2
BH-01570,27,f,980,1.0006,NRB,4,BW-resident,4,2
BH-01570,27,f,980,1.1506,NRB,5,BW-resident,4,2
BH-01570,27,f,980,1.2802,NRB,6,BW-resident,4,2
BH-01570,27,f,980,1.4246,NRB,7,BW-resident,4,2
BH-01570,27,f,980,1.5676,NRB,8,BW-resident,4,2
BH-01570,27,f,980,1.7085,NRB,9,BW-resident,4,2
BH-01570,27,f,980,1.8373,NRB,10,BW-resident,4,2
BH-01571,28,f,520,0.5179,NRB,1,Trans-habitat,3,4
BH-01571,28,f,520,0.7992,NRB,2,Trans-habitat,3,4
BH-01576,29,f,570,0.5914,NRB,1,BW-resident,4,2
BH-01576,29,f,570,0.8669,NRB,2,BW-resident,4,2
BH-01580,30,f,490,0.6909,NRB,1,Trans-habitat,3,2
BH-01580,30,f,490,0.9999,NRB,2,Trans-habitat,3,2
BH-01582,31,f,830,0.4346,NRB,1,BW-resident,4,
BH-01582,31,f,830,0.68,NRB,2,BW-resident,4,
BH-01582,31,f,830,0.8886,NRB,3,BW-resident,4,
BH-01582,31,f,830,1.0519,NRB,4,BW-resident,4,
BH-01582,31,f,830,1.1696,NRB,5,BW-resident,4,
BH-01582,31,f,830,1.2864,NRB,6,BW-resident,4,
BH-01582,31,f,830,1.4226,NRB,7,BW-resident,4,
BH-01585,32,m,760,0.3864,NRB,1,BW-resident,4,2
BH-01585,32,m,760,0.5986,NRB,2,BW-resident,4,2
BH-01585,32,m,760,0.7657,NRB,3,BW-resident,4,2
BH-01585,32,m,760,0.9086,NRB,4,BW-resident,4,2
BH-01585,32,m,760,1.0311,NRB,5,BW-resident,4,2
BH-01585,32,m,760,1.2002,NRB,6,BW-resident,4,2
BH-01585,32,m,760,1.3115,NRB,7,BW-resident,4,2
BH-01585,32,m,760,1.4137,NRB,8,BW-resident,4,2
BH-01585,32,m,760,1.5151,NRB,9,BW-resident,4,2
BH-01588,33,f,1050,0.4377,NRB,1,BW-resident,4,2
BH-01588,33,f,1050,0.6521,NRB,2,BW-resident,4,2
BH-01588,33,f,1050,0.8198,NRB,3,BW-resident,4,2
BH-01588,33,f,1050,0.9693,NRB,4,BW-resident,4,2
BH-01588,33,f,1050,1.1077,NRB,5,BW-resident,4,2
BH-01588,33,f,1050,1.2179,NRB,6,BW-resident,4,2
BH-01588,33,f,1050,1.3378,NRB,7,BW-resident,4,2
BH-01588,33,f,1050,1.4873,NRB,8,BW-resident,4,2
BH-01588,33,f,1050,1.6257,NRB,9,BW-resident,4,2
BH-01588,33,f,1050,1.774,NRB,10,BW-resident,4,2
BH-01594,34,f,630,0.569,NRB,1,BW-resident,4,2
BH-01594,34,f,630,0.869,NRB,2,BW-resident,4,2
BH-01595,35,m,690,0.5188,NRB,1,Trans-habitat,3,2
BH-01595,35,m,690,0.775,NRB,2,Trans-habitat,3,2
BH-01595,35,m,690,0.9745,NRB,3,Trans-habitat,3,2
BH-01595,35,m,690,1.1829,NRB,4,Trans-habitat,3,2
BH-01596,36,f,660,0.5564,NRB,1,Trans-habitat,3,2
BH-01596,36,f,660,0.8335,NRB,2,Trans-habitat,3,2
BH-01598,37,f,750,0.5361,NRB,1,BW-resident,4,4
BH-01598,37,f,750,0.7746,NRB,2,BW-resident,4,4
BH-01598,37,f,750,0.9859,NRB,3,BW-resident,4,4
BH-01598,37,f,750,1.2808,NRB,4,BW-resident,4,4
BH-01713,38,f,980,0.6561,WRB,1,BW-resident,4,2
BH-01713,38,f,980,0.8891,WRB,2,BW-resident,4,2
BH-01713,38,f,980,1.0714,WRB,3,BW-resident,4,2
BH-01713,38,f,980,1.2495,WRB,4,BW-resident,4,2
BH-01713,38,f,980,1.4166,WRB,5,BW-resident,4,2
BH-01713,38,f,980,1.5406,WRB,6,BW-resident,4,2
BH-01713,38,f,980,1.6494,WRB,7,BW-resident,4,2
BH-01717,39,f,1040,0.4454,NRB,1,BW-resident,4,2
BH-01717,39,f,1040,0.648,NRB,2,BW-resident,4,2
BH-01717,39,f,1040,0.777,NRB,3,BW-resident,4,2
BH-01717,39,f,1040,0.9056,NRB,4,BW-resident,4,2
BH-01717,39,f,1040,1.0426,NRB,5,BW-resident,4,2
BH-01717,39,f,1040,1.2069,NRB,6,BW-resident,4,2
BH-01717,39,f,1040,1.3411,NRB,7,BW-resident,4,2
BH-01717,39,f,1040,1.4479,NRB,8,BW-resident,4,2
BH-01717,39,f,1040,1.5219,NRB,9,BW-resident,4,2
BH-01717,39,f,1040,1.5931,NRB,10,BW-resident,4,2
BH-01717,39,f,1040,1.73,NRB,11,BW-resident,4,2
BH-01717,39,f,1040,1.8315,NRB,12,BW-resident,4,2
BH-01719,40,f,550,0.595,WRB,1,Trans-habitat,3,4
BH-01722,41,f,950,0.4057,NRB,1,BW-resident,4,4
BH-01722,41,f,950,0.5993,NRB,2,BW-resident,4,4
BH-01722,41,f,950,0.7408,NRB,3,BW-resident,4,4
BH-01722,41,f,950,0.8981,NRB,4,BW-resident,4,4
BH-01722,41,f,950,1.0574,NRB,5,BW-resident,4,4
BH-01722,41,f,950,1.1532,NRB,6,BW-resident,4,4
BH-01722,41,f,950,1.3213,NRB,7,BW-resident,4,4
BH-01722,41,f,950,1.4298,NRB,8,BW-resident,4,4
BH-01722,41,f,950,1.5419,NRB,9,BW-resident,4,4
BH-01722,41,f,950,1.642,NRB,10,BW-resident,4,4
BH-01722,41,f,950,1.7449,NRB,11,BW-resident,4,4
BH-01722,41,f,950,1.8228,NRB,12,BW-resident,4,4
BH-01722,41,f,950,1.8973,NRB,13,BW-resident,4,4
BH-01731,42,m,950,0.4621,WRB,1,BW-resident,4,2
BH-01731,42,m,950,0.664,WRB,2,BW-resident,4,2
BH-01731,42,m,950,0.821,WRB,3,BW-resident,4,2
BH-01731,42,m,950,0.969,WRB,4,BW-resident,4,2
BH-01731,42,m,950,1.0935,WRB,5,BW-resident,4,2
BH-01731,42,m,950,1.2575,WRB,6,BW-resident,4,2
BH-01731,42,m,950,1.419,WRB,7,BW-resident,4,2
BH-01731,42,m,950,1.5741,WRB,8,BW-resident,4,2
BH-01737,43,f,1130,0.4306,WRB,1,BW-resident,4,2
BH-01737,43,f,1130,0.6247,WRB,2,BW-resident,4,2
BH-01737,43,f,1130,0.8738,WRB,3,BW-resident,4,2
BH-01737,43,f,1130,1.0375,WRB,4,BW-resident,4,2
BH-01737,43,f,1130,1.1814,WRB,5,BW-resident,4,2
BH-01737,43,f,1130,1.302,WRB,6,BW-resident,4,2
BH-01737,43,f,1130,1.3968,WRB,7,BW-resident,4,2
BH-01737,43,f,1130,1.444,WRB,8,BW-resident,4,2
BH-01738,44,f,860,0.4309,WRB,1,BW-resident,4,2
BH-01738,44,f,860,0.6311,WRB,2,BW-resident,4,2
BH-01738,44,f,860,0.8812,WRB,3,BW-resident,4,2
BH-01738,44,f,860,1.0397,WRB,4,BW-resident,4,2
BH-01738,44,f,860,1.1706,WRB,5,BW-resident,4,2
BH-01738,44,f,860,1.2837,WRB,6,BW-resident,4,2
BH-01738,44,f,860,1.4018,WRB,7,BW-resident,4,2
BH-01758,45,m,682,0.4351,WRB,1,BW-resident,4,
BH-01758,45,m,682,0.8236,WRB,2,BW-resident,4,
BH-01758,45,m,682,0.9712,WRB,3,BW-resident,4,
BH-01758,45,m,682,1.1032,WRB,4,BW-resident,4,
BH-01758,45,m,682,1.2433,WRB,5,BW-resident,4,
BH-01758,45,m,682,1.3504,WRB,6,BW-resident,4,
BH-01758,45,m,682,1.43,WRB,7,BW-resident,4,
BH-01789,46,m,600,0.3181,WRB,1,Trans-habitat,3,2
BH-01789,46,m,600,0.5433,WRB,2,Trans-habitat,3,2
BH-01789,46,m,600,0.7978,WRB,3,Trans-habitat,3,2
BH-01802,47,m,638,0.4502,WRB,1,BW-resident,4,2
BH-01802,47,m,638,0.6682,WRB,2,BW-resident,4,2
BH-01802,47,m,638,0.8264,WRB,3,BW-resident,4,2
BH-01803,48,m,600,0.3141,WRB,1,BW-resident,4,2
BH-01803,48,m,600,0.5001,WRB,2,BW-resident,4,2
BH-01803,48,m,600,0.7067,WRB,3,BW-resident,4,2
BH-01803,48,m,600,0.9099,WRB,4,BW-resident,4,2
BH-01809,49,m,520,0.4117,WRB,1,BW-resident,4,2
BH-01809,49,m,520,0.5322,WRB,2,BW-resident,4,2
BH-01809,49,m,520,0.7607,WRB,3,BW-resident,4,2
BH-01812,50,f,1020,0.4215,WRB,1,BW-resident,4,2
BH-01812,50,f,1020,0.6332,WRB,2,BW-resident,4,2
BH-01812,50,f,1020,0.8462,WRB,3,BW-resident,4,2
BH-01812,50,f,1020,1.1385,WRB,4,BW-resident,4,2
BH-01812,50,f,1020,1.2723,WRB,5,BW-resident,4,2
BH-01812,50,f,1020,1.4113,WRB,6,BW-resident,4,2
BH-01812,50,f,1020,1.5243,WRB,7,BW-resident,4,2
BH-01814,51,m,780,0.3263,WRB,1,BW-resident,4,2
BH-01814,51,m,780,0.5887,WRB,2,BW-resident,4,2
BH-01814,51,m,780,0.8708,WRB,3,BW-resident,4,2
BH-01814,51,m,780,1.1435,WRB,4,BW-resident,4,2
BH-01814,51,m,780,1.3553,WRB,5,BW-resident,4,2
BH-01814,51,m,780,1.5584,WRB,6,BW-resident,4,2
BH-01819,52,m,680,0.3961,WRB,1,BW-resident,4,
BH-01819,52,m,680,0.7673,WRB,2,BW-resident,4,
BH-01819,52,m,680,0.916,WRB,3,BW-resident,4,
BH-01819,52,m,680,1.188,WRB,4,BW-resident,4,
BH-01835,53,m,820,0.4102,WRB,1,BW-resident,4,2
BH-01835,53,m,820,0.6737,WRB,2,BW-resident,4,2
BH-01835,53,m,820,0.8258,WRB,3,BW-resident,4,2
BH-01835,53,m,820,1.0183,WRB,4,BW-resident,4,2
BH-01835,53,m,820,1.1226,WRB,5,BW-resident,4,2
BH-01835,53,m,820,1.2146,WRB,6,BW-resident,4,2
BH-01835,53,m,820,1.3616,WRB,7,BW-resident,4,2
BH-01846,54,f,880,0.5636,NRB,1,BW-resident,4,2
BH-01846,54,f,880,0.7964,NRB,2,BW-resident,4,2
BH-01846,54,f,880,0.9192,NRB,3,BW-resident,4,2
BH-01846,54,f,880,1.0288,NRB,4,BW-resident,4,2
BH-01846,54,f,880,1.1647,NRB,5,BW-resident,4,2
BH-01846,54,f,880,1.3751,NRB,6,BW-resident,4,2
BH-01846,54,f,880,1.5135,NRB,7,BW-resident,4,2
BH-01846,54,f,880,1.6338,NRB,8,BW-resident,4,2
BH-01846,54,f,880,1.72,NRB,9,BW-resident,4,2
BH-01846,54,f,880,1.8828,NRB,10,BW-resident,4,2
BH-01846,54,f,880,1.9857,NRB,11,BW-resident,4,2
BH-01846,54,f,880,2.1308,NRB,12,BW-resident,4,2
BH-01850,55,f,910,0.564,NRB,1,BW-resident,4,
BH-01850,55,f,910,0.8965,NRB,2,BW-resident,4,
BH-01850,55,f,910,1.0584,NRB,3,BW-resident,4,
BH-01850,55,f,910,1.2403,NRB,4,BW-resident,4,
BH-01850,55,f,910,1.4,NRB,5,BW-resident,4,
BH-01850,55,f,910,1.4966,NRB,6,BW-resident,4,
BH-01855,56,m,722,0.3768,WRB,1,BW-resident,4,
BH-01855,56,m,722,0.6229,WRB,2,BW-resident,4,
BH-01855,56,m,722,0.7791,WRB,3,BW-resident,4,
BH-01855,56,m,722,0.9353,WRB,4,BW-resident,4,
BH-01855,56,m,722,1.0715,WRB,5,BW-resident,4,
BH-01855,56,m,722,1.2415,WRB,6,BW-resident,4,
BH-01855,56,m,722,1.3462,WRB,7,BW-resident,4,
BH-01855,56,m,722,1.4667,WRB,8,BW-resident,4,
BH-01860,57,f,940,0.4555,WRB,1,BW-resident,4,2
BH-01860,57,f,940,0.7192,WRB,2,BW-resident,4,2
BH-01860,57,f,940,0.9673,WRB,3,BW-resident,4,2
BH-01860,57,f,940,1.1777,WRB,4,BW-resident,4,2
BH-01860,57,f,940,1.3011,WRB,5,BW-resident,4,2
BH-01860,57,f,940,1.4401,WRB,6,BW-resident,4,2
BH-01860,57,f,940,1.6167,WRB,7,BW-resident,4,2
BH-01867,58,f,820,0.4642,WRB,1,BW-resident,4,2
BH-01867,58,f,820,0.6903,WRB,2,BW-resident,4,2
BH-01867,58,f,820,0.8947,WRB,3,BW-resident,4,2
BH-01867,58,f,820,1.116,WRB,4,BW-resident,4,2
